id,name,involveAs,profile_id,created_at,updated_at
89,"ค่ายย่อย 12 ครั้งที่ 2 วันที่ 5-7 ธ.ค.52 (ดอยเชียงดาว)",นักเรียน,26,"2010-06-16 08:34:51","2010-06-16 08:34:51"
90,"ค่าย 12/3 วันที่ 2-8 เม.ย.2553 (ม.วลัยลักษณ์)",นักเรียน,26,"2010-06-16 08:35:11","2010-06-16 08:35:11"
91,"ค่าย 12/1 วันที่ 4-9 พ.ค.52 (มจธ.-มก.-ม.ศิลปากร สนามจันทร์)",นักเรียน,27,"2010-06-16 08:48:14","2010-06-16 08:48:14"
92,"ค่าย 12/1 วันที่ 4-9 พ.ค.52 (มจธ.-มก.-ม.ศิลปากร สนามจันทร์)",นักเรียน,28,"2010-06-16 08:58:14","2010-06-16 08:58:14"
93,"ค่าย 12/2 วันที่ 16-20 ต.ค.52 (มก.)",นักเรียน,28,"2010-06-16 08:58:36","2010-06-16 08:58:36"
94,"ค่ายย่อย 12 ครั้งที่ 2 วันที่ 5-7 ธ.ค.52 (ดอยเชียงดาว)",นักเรียน,28,"2010-06-16 08:58:47","2010-06-16 08:58:47"
95,"ค่าย 12/3 วันที่ 2-8 เม.ย.53 (ม.วลัยลักษณ์)",นักเรียน,28,"2010-06-16 09:02:52","2010-06-16 09:02:52"
96,"ค่าย 12/1 วันที่ 4-9 พ.ค.52 (มจธ.-มก.-ม.ศิลปากร สนามจันทร์)",นักเรียน,29,"2010-06-16 09:08:44","2010-06-16 09:08:44"
97,"ค่ายย่อย 12 ครั้งที่ 1 วันที่ 4-6 ก.ค.52 (มจธ.)",นักเรียน,29,"2010-06-16 09:08:57","2010-06-16 09:08:57"
98,"ค่าย 12/2 วันที่ 16-20 ต.ค.52 (มก.)",นักเรียน,29,"2010-06-16 09:09:44","2010-06-16 09:09:44"
99,"ค่ายย่อย 12 ครั้งที่ 2 วันที่ 5-7 ธ.ค.52 (ดอยเชียงดาว)",นักเรียน,29,"2010-06-16 09:09:58","2010-06-16 09:09:58"
100,"ค่าย 12/3 วันที่ 2-8 เม.ย.53 (ม.วลัยลักษณ์)",นักเรียน,29,"2010-06-16 09:10:07","2010-06-16 09:10:19"
101,"ค่าย 12/1 วันที่ 4-9 พ.ค.52 (มจธ.-มก.-ม.ศิลปากร สนามจันทร์)",นักเรียน,30,"2010-06-16 09:15:58","2010-06-16 09:15:58"
102,"ค่ายย่อยรุ่น 12 ครั้งที่ 1 วันที่ 4-6 ก.ค.52 (มจธ.)",นักเรียน,30,"2010-06-16 09:16:21","2010-06-16 09:16:21"
103,"ค่าย 12/2 วันที่ 16-20 ต.ค.52 (มก.)",นักเรียน,30,"2010-06-16 09:16:37","2010-06-16 09:16:37"
104,"ค่าย 12/3 วันที่ 2-8 เม.ย.53 (ม.วลัยลักษณ์)",นักเรียน,30,"2010-06-16 09:16:51","2010-06-16 09:17:01"
105,"ค่าย 12/1 วันที่ 4-9 พ.ค.52 (มจธ.-มก.-ม.ศิลปากร สนามจันทร์)",นักเรียน,31,"2010-06-16 09:25:46","2010-06-16 09:25:46"
106,"ค่ายย่อย 12 ครั้งที่ 1 วันที่ 4-6 ก.ค.52 (มจธ.)",นักเรียน,31,"2010-06-16 09:25:58","2010-06-16 09:25:58"
107,"ค่าย 12/2 วันที่ 16-20 ต.ค.52 (มก.)",นักเรียน,31,"2010-06-16 09:26:12","2010-06-16 09:26:12"
108,"ค่ายย่อย 12 ครั้งที่ 2 วันที่ 5-7 ธ.ค.52 (ดอยเชียงดาว)",นักเรียน,31,"2010-06-16 09:26:26","2010-06-16 09:26:26"
109,"ค่าย 12/3 วันที่ 2-8 เม.ย.2553 (ม.วลัยลักษณ์)",นักเรียน,31,"2010-06-16 09:26:41","2010-06-16 09:26:41"
110,"ค่าย 13/1 วันที่ 3-8 พ.ค.2553 (มจธ.)",รุ่นพี่,31,"2010-06-16 09:26:54","2010-06-16 11:55:33"
111,"ค่าย 12/1 วันที่ 4-9 พ.ค.52 (มจธ.-มก.-ม.ศิลปากร สนามจันทร์)",นักเรียน,32,"2010-06-16 09:53:06","2010-06-16 09:53:06"
112,"ค่ายย่อย 12 ครั้งที่ 1 วันที่ 4-6 ก.ค.52 (มจธ.)",นักเรียน,32,"2010-06-16 09:53:20","2010-06-16 09:54:36"
113,"ค่าย 12/2 วันที่ 16-20 ต.ค.52 (มก.)",นักเรียน,32,"2010-06-16 09:53:31","2010-06-16 09:54:21"
114,"ค่ายย่อย 12 ครั้งที่ 2 วันที่ 5-7 ธ.ค.52 (ดอยเชียงดาว)",นักเรียน,32,"2010-06-16 09:53:45","2010-06-16 09:54:52"
115,"ค่าย 12/1 วันที่ 4-9 พ.ค.52 (มจธ.-มก.-ม.ศิลปากร สนามจันทร์)",นักเรียน,33,"2010-06-16 10:08:00","2010-06-16 10:08:00"
116,"ค่ายย่อย 12 ครั้งที่ 1 วันที่ 4-6 ก.ค.52 (มจธ.)",นักเรียน,33,"2010-06-16 10:08:13","2010-06-16 10:08:13"
117,"ค่าย 12/2 วันที่ 16-20 ต.ค.52 (มก.)",นักเรียน,33,"2010-06-16 10:08:25","2010-06-16 10:08:38"
118,"ค่าย 12/3 วันที่ 2-8 เม.ย.53 (ม.วลัยลักษณ์)",นักเรียน,33,"2010-06-16 10:08:54","2010-06-16 10:08:54"
119,"ค่าย 13/1 วันที่ 3-8 พ.ค.53 (มจธ.)",รุ่นพี่,33,"2010-06-16 10:09:42","2010-06-16 11:53:58"
120,"ค่าย 12/1 วันที่ 4-9 พ.ค.52 (มจธ.-มก.-ม.ศิลปากร สนามจันทร์)",นักเรียน,34,"2010-06-16 10:18:47","2010-06-16 10:18:47"
121,"ค่ายย่อย 12 ครั้งที่ 1 วันที่ 4-6 ก.ค.52 (มจธ.)",นักเรียน,34,"2010-06-16 10:18:58","2010-06-16 10:18:58"
122,"ค่าย 12/2 วันที่ 16-20 ต.ค.52 (มก.)",นักเรียน,34,"2010-06-16 10:19:08","2010-06-16 10:19:08"
123,"ค่ายย่อย 12 ครั้งที่ 2 วันที่ 5-7 ธ.ค.52 (ดอยเชียงดาว)",นักเรียน,34,"2010-06-16 10:19:19","2010-06-16 10:19:19"
124,"ค่าย 12/3 วันที่ 2-8 เม.ย.53 (ม.วลัยลักษณ์)",นักเรียน,34,"2010-06-16 10:19:32","2010-06-16 10:19:32"
125,"ค่าย 12/1 วันที่ 4-9 พ.ค.52 (มจธ.-มก.-ม.ศิลปากร สนามจันทร์)",นักเรียน,35,"2010-06-16 10:30:39","2010-06-16 10:30:39"
126,"ค่ายย่อย 12 ครั้งที่ 1 วันที่ 4-6 ก.ค.52 (มจธ.)",นักเรียน,35,"2010-06-16 10:30:56","2010-06-16 10:30:56"
127,"ค่าย 12/2 วันที่ 16-20 ต.ค.52 (มก.)",นักเรียน,35,"2010-06-16 10:31:08","2010-06-16 10:31:08"
128,"ค่ายย่อย 12 ครั้งที่ 2 วันที่ 5-7 ธ.ค.52 (ดอยเชียงดาว)",นักเรียน,35,"2010-06-16 10:31:29","2010-06-16 10:31:29"
129,"ค่าย 12/3 วันที่ 2-8 เม.ย.53 (ม.วลัยลักษณ์)",นักเรียน,35,"2010-06-16 10:31:43","2010-06-16 10:31:43"
130,"ค่าย 13/1 วันที่ 3-8 พ.ค.53 (มจธ.)",รุ่นพี่,35,"2010-06-16 10:32:11","2010-06-16 11:53:27"
131,"ค่าย 12/1 วันที่ 4-9 พ.ค.52 (มจธ.-มก.-ม.ศิลปากร สนามจันทร์)",นักเรียน,36,"2010-06-16 10:38:15","2010-06-16 10:38:15"
132,"ค่าย 12/2 วันที่ 16-20 ต.ค.52 (มก.)",นักเรียน,36,"2010-06-16 10:38:27","2010-06-16 10:38:27"
133,"ค่าย 12/3 วันที่ 2-8 เม.ย.53 (ม.วลัยลักษณ์)",นักเรียน,36,"2010-06-16 10:38:44","2010-06-16 10:38:44"
134,"ค่าย 12/1 วันที่ 4-9 พ.ค.52 (มจธ.-มก.-ม.ศิลปากร สนามจันทร์)",นักเรียน,37,"2010-06-16 10:44:33","2010-06-16 10:44:33"
135,"ค่ายย่อย 12 ครั้งที่ 1 วันที่ 4-6 ก.ค.52 (มจธ.)",นักเรียน,37,"2010-06-16 10:44:42","2010-06-16 10:44:42"
136,"ค่าย 12/2 วันที่ 16-20 ต.ค.52 (มก.)",นักเรียน,37,"2010-06-16 10:45:00","2010-06-16 10:45:00"
137,"ค่ายย่อย 12 ครั้งที่ 2 วันที่ 5-7 ธ.ค.52 (ดอยเชียงดาว)",นักเรียน,37,"2010-06-16 10:45:12","2010-06-16 10:45:12"
138,"ค่าย 12/3 วันที่ 2-8 เม.ย.53 (ม.วลัยลักษณ์)",นักเรียน,37,"2010-06-16 10:45:23","2010-06-16 10:45:23"
139,"ค่าย 12/1 วันที่ 4-9 พ.ค.52 (มจธ.-มก.-ม.ศิลปากร สนามจันทร์)",นักเรียน,38,"2010-06-16 10:52:52","2010-06-16 10:52:52"
140,"ค่ายย่อย 12 ครั้งที่ 1 วันที่ 4-6 ก.ค.52 (มจธ.)",นักเรียน,38,"2010-06-16 10:53:16","2010-06-16 10:53:16"
141,"ค่าย 12/2 วันที่ 16-20 ต.ค.52 (มก.)",นักเรียน,38,"2010-06-16 10:53:26","2010-06-16 10:53:26"
142,"ค่าย 12/3 วันที่ 2-8 เม.ย.53 (ม.วลัยลักษณ์)",นักเรียน,38,"2010-06-16 10:57:07","2010-06-16 10:57:07"
143,"ค่าย 12/1 วันที่ 4-9 พ.ค.52 (มจธ.-มก.-ม.ศิลปากร สนามจันทร์)",นักเรียน,39,"2010-06-16 11:02:23","2010-06-16 11:02:23"
144,"ค่ายย่อย 12 ครั้งที่ 1 วันที่ 4-6 ก.ค.52 (มจธ.)",นักเรียน,39,"2010-06-16 11:02:56","2010-06-16 11:02:56"
145,"ค่าย 12/2 วันที่ 16-20 ต.ค.52 (มก.)",นักเรียน,39,"2010-06-16 11:03:12","2010-06-16 11:03:12"
146,"ค่ายย่อย 12 ครั้งที่ 2 วันที่ 5-7 ธ.ค.52 (ดอยเชียงดาว)",นักเรียน,39,"2010-06-16 11:03:33","2010-06-16 11:03:33"
147,"ค่าย 12/3 วันที่ 2-8 เม.ย.53 (ม.วลัยลักษณ์)",นักเรียน,39,"2010-06-16 11:03:45","2010-06-16 11:03:45"
148,"ค่าย 13/1 วันที่ 3-8 พ.ค.53 (มจธ.)",รุ่นพี่,39,"2010-06-16 11:03:56","2010-06-16 11:52:58"
149,"ค่าย 12/1 วันที่ 4-9 พ.ค.52 (มจธ.-มก.-ม.ศิลปากร สนามจันทร์)",นักเรียน,40,"2010-06-16 11:17:43","2010-06-16 11:17:43"
150,"ค่าย 12/2 วันที่ 16-20 ต.ค.52 (มก.)",นักเรียน,40,"2010-06-16 11:17:53","2010-06-16 11:17:53"
151,"ค่าย 12/1 วันที่ 4-9 พ.ค.52 (มจธ.-มก.-ม.ศิลปากร สนามจันทร์)",นักเรียน,41,"2010-06-16 11:25:50","2010-06-16 11:25:50"
152,"ค่ายย่อย 12 ครั้งที่ 1 วันที่ 4-6 ก.ค.52 (มจธ.)",นักเรียน,41,"2010-06-16 11:26:00","2010-06-16 11:26:00"
153,"ค่าย 12/2 วันที่ 16-20 ต.ค.52 (มก.)",นักเรียน,41,"2010-06-16 11:26:10","2010-06-16 11:26:10"
154,"ค่ายย่อย 12 ครั้งที่ 2 วันที่ 5-7 ธ.ค.52 (ดอยเชียงดาว)",นักเรียน,41,"2010-06-16 11:26:22","2010-06-16 11:26:22"
155,"ค่าย 12/1 วันที่ 4-9 พ.ค.52 (มจธ.-มก.-ม.ศิลปากร สนามจันทร์)",นักเรียน,42,"2010-06-16 11:31:11","2010-06-16 11:31:11"
156,"ค่ายย่อย 12 ครั้งที่ 1 วันที่ 4-6 ก.ค.52 (มจธ.)",นักเรียน,42,"2010-06-16 11:31:23","2010-06-16 11:31:23"
157,"ค่าย 12/2 วันที่ 16-20 ต.ค.52 (มก.)",นักเรียน,42,"2010-06-16 11:31:32","2010-06-16 11:31:32"
158,"ค่ายย่อย 12 ครั้งที่ 2 วันที่ 5-7 ธ.ค.52 (ดอยเชียงดาว)",นักเรียน,42,"2010-06-16 11:31:58","2010-06-16 11:32:11"
159,"ค่าย 12/3 วันที่ 2-8 เม.ย.53 (ม.วลัยลักษณ์)",นักเรียน,42,"2010-06-16 11:32:22","2010-06-16 11:32:22"
160,"ค่าย 13/1 วันที่ 3-8 พ.ค.53 (มจธ.)",รุ่นพี่,42,"2010-06-16 11:32:33","2010-06-16 11:52:24"
161,"ค่าย 12/1 วันที่ 4-9 พ.ค.52 (มจธ.-มก.-ม.ศิลปากร สนามจันทร์)",นักเรียน,43,"2010-06-16 11:38:25","2010-06-16 11:38:25"
162,"ค่ายย่อย 12 ครั้งที่ 1 วันที่ 4-6 ก.ค.52 (มจธ.)",นักเรียน,43,"2010-06-16 11:38:35","2010-06-16 11:38:35"
163,"ค่าย 12/2 วันที่ 16-20 ต.ค.52 (มก.)",นักเรียน,43,"2010-06-16 11:38:45","2010-06-16 11:38:45"
164,"ค่ายย่อย 12 ครั้งที่ 2 วันที่ 5-7 ธ.ค.52 (ดอยเชียงดาว)",นักเรียน,43,"2010-06-16 11:38:56","2010-06-16 11:38:56"
165,"ค่าย 12/3 วันที่ 2-8 เม.ย.53 (ม.วลัยลักษณ์)",นักเรียน,43,"2010-06-16 11:39:06","2010-06-16 11:39:06"
166,"ค่าย 13/1 วันที่ 3-8 พ.ค.53 (มจธ.)",รุ่นพี่,43,"2010-06-16 11:39:18","2010-06-16 11:51:47"
167,"ค่าย 12/1 วันที่ 4-9 พ.ค.52 (มจธ.-มก.-ม.ศิลปากร สนามจันทร์)",นักเรียน,44,"2010-06-16 11:44:01","2010-06-16 11:44:01"
168,"ค่ายย่อย 12 ครั้งที่ 1 วันที่ 4-6 ก.ค.52 (มจธ.)",นักเรียน,44,"2010-06-16 11:44:33","2010-06-16 11:44:33"
169,"ค่าย 12/2 วันที่ 16-20 ต.ค.52 (มก.)",นักเรียน,44,"2010-06-16 11:44:48","2010-06-16 11:44:48"
170,"ค่าย 12/3 วันที่ 2-8 เม.ย.53 (ม.วลัยลักษณ์)",นักเรียน,44,"2010-06-16 11:45:01","2010-06-16 11:45:01"
171,"ค่าย 12/1 วันที่ 4-9 พ.ค.52 (มจธ.-มก.-ม.ศิลปากร สนามจันทร์)",นักเรียน,45,"2010-06-16 11:48:55","2010-06-16 11:48:55"
172,"ค่ายย่อย 12 ครั้งที่ 1 วันที่ 4-6 ก.ค.52 (มจธ.)",นักเรียน,45,"2010-06-16 11:49:05","2010-06-16 11:49:05"
173,"ค่าย 12/2 วันที่ 16-20 ต.ค.52 (มก.)",นักเรียน,45,"2010-06-16 11:49:23","2010-06-16 11:49:23"
174,"ค่าย 12/3 วันที่ 2-8 เม.ย.53 (ม.วลัยลักษณ์)",นักเรียน,45,"2010-06-16 11:49:39","2010-06-16 11:49:39"
175,"ค่าย 13/1 วันที่ 3-8 พ.ค.2553 (มจธ.)",รุ่นพี่,45,"2010-06-16 11:49:51","2010-06-16 11:49:51"
176,,เจ้าหน้าที่,6,"2010-07-15 02:32:46","2010-07-15 02:32:46"
